frame,x,y,z,velocity
0,0.013186848,0.10383334,0.4087923,0.0
0,0.12747286,1.3530551,-0.042490955,0.0
0,0.18168546,1.3829296,-0.4087923,0.0
1,0.013186848,0.10383334,0.4087923,0.0
1,0.12747286,1.3530551,-0.042490955,0.0
2,0.013186848,0.10383334,0.4087923,0.0
2,0.22710682,1.3761998,-0.4087923,0.0
3,0.013186848,0.10383334,0.4087923,0.0
3,0.08791232,1.317952,-0.48351777,0.0
3,0.33846244,1.4973445,-0.1934071,0.0
4,0.013186848,0.10383334,0.4087923,0.0
4,0.0820515,1.309615,-0.04102575,0.0
4,0.18168546,1.3829296,-0.4087923,0.0
5,0.013186848,0.10383334,0.4087923,0.0
5,0.0820515,1.304464,-0.12307725,0.0
5,0.1362641,1.3580914,-0.499635,0.0
5,-1.476927,1.3010726,0.061538626,0.0
6,0.013186848,0.10383334,0.4087923,0.0
6,0.04102575,1.306398,-0.12307725,0.0
6,0.94359225,0.8978924,-0.164103,0.0
6,0.18168546,1.4065964,-0.31794956,0.0
6,-1.4153883,1.3677644,0.061538626,0.0
7,0.013186848,0.10383334,0.4087923,0.0
7,0.0820515,1.309615,-0.04102575,0.0
8,0.013186848,0.10383334,0.4087923,0.0
8,0.04102575,1.309615,-0.0820515,0.0
9,0.013186848,0.10383334,0.4087923,0.0
9,0.04102575,1.3115413,0.04102575,0.0
9,0.28131944,1.4252284,-0.37509257,0.0
10,0.013186848,0.10383334,0.4087923,0.0
10,-0.0,1.3570523,-0.08498191,0.0
10,0.93480104,0.9642732,-0.21245478,0.0
10,0.28131944,1.4466616,-0.28131944,0.0
11,0.013186848,0.10383334,0.4087923,0.0
11,0.12307725,1.306398,0.04102575,0.0
12,0.013186848,0.10383334,0.4087923,0.0
12,0.0820515,1.309615,0.04102575,0.0
12,0.28131944,1.4466616,-0.28131944,0.0
12,-1.476927,1.3010726,0.061538626,0.0
13,0.013186848,0.10383334,0.4087923,0.0
13,0.0820515,1.3076857,0.0820515,0.0
13,0.82051504,1.024823,0.0,0.0
13,0.33846244,1.4973445,-0.1934071,0.0
14,0.013186848,0.10383334,0.4087923,0.0
14,0.0820515,1.309615,-0.04102575,0.0
14,0.22710682,1.3618838,-0.45421365,0.0
15,0.013186848,0.10383334,0.4087923,0.0
15,0.04395616,1.3612223,-0.35164928,0.0
16,0.013186848,0.10383334,0.4087923,0.0
16,-0.0,1.3537221,-0.12747286,0.0
16,0.93480104,0.9791376,-0.12747286,0.0
16,0.328206,1.4367502,-0.28131944,0.0
17,0.013186848,0.10383334,0.4087923,0.0
17,0.0820515,1.309615,0.04102575,0.0
17,0.9025665,0.95246917,-0.04102575,0.0
17,0.3868142,1.4910859,-0.14505532,0.0
18,0.013186848,0.10383334,0.4087923,0.0
18,0.94359225,0.90906996,-0.0820515,0.0
18,0.04102575,1.3121828,0.0,0.0
18,0.18168546,1.3527639,-0.499635,0.0
19,0.013186848,0.10383334,0.4087923,0.0
19,0.12307725,1.306398,-0.04102575,0.0
19,0.18168546,1.3156524,-0.59047776,0.0
19,0.33846244,1.4903018,-0.24175888,0.0
20,0.013186848,0.10383334,0.4087923,0.0
20,0.16996382,1.3463666,0.08498191,0.0
20,0.3868142,1.4697667,-0.29011065,0.0
21,0.013186848,0.10383334,0.4087923,0.0
21,0.0820515,1.3076857,-0.0820515,0.0
21,0.18168546,1.3156524,-0.59047776,0.0
21,0.33846244,1.5027993,-0.14505532,0.0
22,0.013186848,0.10383334,0.4087923,0.0
22,0.86154073,0.98717886,-0.0820515,0.0
22,-0.0,1.3102574,0.0820515,0.0
22,0.13186848,1.2972654,-0.5274739,0.0
22,0.33846244,1.5066836,-0.09670355,0.12057925
23,0.013186848,0.10383334,0.4087923,0.0
23,0.08498191,1.3563869,0.042490955,0.0
23,-1.476927,1.3010726,0.061538626,0.0
23,0.33846244,1.4903018,-0.24175888,0.12057925
24,0.013186848,0.10383334,0.4087923,0.0
24,0.08498191,1.3403186,-0.21245478,0.0
24,-1.476927,1.3010726,0.061538626,0.0
24,0.29011065,1.500464,-0.24175888,0.12057925
24,-0.03516493,1.1225271,0.07032986,-0.36173776
25,0.013186848,0.10383334,0.4087923,0.0
25,0.042490955,1.3530551,-0.12747286,0.0
25,-1.476927,1.3025272,0.0,0.0
25,0.33846244,1.4713565,-0.33846244,0.12057925
25,-0.06446903,1.0274674,0.06446903,-0.84405476
26,0.013186848,0.10383334,0.4087923,0.0
26,0.12307725,1.304464,-0.0820515,0.0
26,0.18168546,1.3527639,-0.499635,0.0
26,0.13186848,1.3555328,0.35164928,0.12057925
26,0.29011065,1.4918698,-0.29011065,0.12057925
26,-0.23443285,0.8241699,0.38095337,0.36173776
26,0.4102575,0.8009193,0.26373696,0.36173776
26,-0.14652053,0.8683119,-0.32234517,0.36173776
27,0.013186848,0.10383334,0.4087923,0.0
27,-0.0,1.3597106,0.0,0.0
27,0.8923101,1.018011,-0.12747286,0.0
27,-1.476927,1.3010726,0.061538626,0.0
27,-0.05274739,0.83567584,0.10549478,-0.964634
28,0.013186848,0.10383334,0.4087923,0.0
28,0.0820515,1.3076857,-0.0820515,0.0
28,0.1362641,1.4356314,0.18168546,0.0
28,-0.023443285,0.74060005,0.11721642,-0.12057925
29,0.013186848,0.10383334,0.4087923,0.0
29,0.08498191,1.3563869,-0.042490955,0.0
29,0.34871888,1.515943,-0.34871888,0.0
29,-1.476927,1.3010726,0.061538626,0.0
29,-0.07032986,1.1225271,0.03516493,0.2411585
29,-0.0,0.7368803,0.14065972,0.84405476
30,0.013186848,0.10383334,0.4087923,0.0
30,0.12747286,1.3369467,-0.21245478,0.0
30,0.2989019,1.5459327,-0.2490849,0.0
30,-1.476927,1.3010726,0.061538626,0.0
31,0.013186848,0.10383334,0.4087923,0.0
31,0.0820515,1.3076857,-0.0820515,0.0
31,-1.476927,1.3010726,0.061538626,0.0
31,0.606595,2.0686247,-0.06739944,0.2411585
31,-1.1457906,1.7959137,0.3369972,0.2411585
31,0.20219833,1.0457778,-0.1684986,-0.6028963
31,-0.5728953,0.91113967,-0.06739944,-0.6028963
31,0.13479888,0.8571927,0.6402947,-0.6028963
32,0.013186848,0.10383334,0.4087923,0.0
32,0.042490955,1.3423376,-0.21245478,0.0
32,-1.476927,1.3010726,0.061538626,0.0
32,-0.036630135,1.1623937,0.14652054,0.2411585
32,0.29011065,1.5128775,-0.14505532,-0.12057925
33,0.013186848,0.10383334,0.4087923,0.0
33,0.94359225,0.9127654,0.0,0.0
33,-1.476927,1.3010726,0.061538626,0.0
33,0.33846244,1.5027993,-0.14505532,-0.12057925
34,0.013186848,0.10383334,0.4087923,0.0
34,0.04102575,1.309615,-0.0820515,0.0
34,0.984618,0.86835146,0.0,0.0
34,0.86154073,0.9346311,0.328206,0.0
34,0.328206,1.3701793,-0.51575226,-0.36173776
34,0.29011065,1.5074592,-0.1934071,-0.12057925
35,0.013186848,0.10383334,0.4087923,0.0
35,0.12307725,1.2966993,-0.164103,0.0
35,0.13186848,1.2972654,-0.5274739,0.0
35,-1.476927,1.3010726,0.061538626,0.0
35,0.36337093,1.3466496,-0.4087923,-0.36173776
36,0.013186848,0.10383334,0.4087923,0.0
36,0.16996382,1.3055168,0.33992764,0.0
37,0.013186848,0.10383334,0.4087923,0.0
37,0.20512876,1.2941008,-0.0820515,0.0
37,0.1362641,1.3739494,-0.45421365,0.0
38,0.013186848,0.10383334,0.4087923,0.0
38,0.164103,1.2921484,-0.164103,0.0
