frame,x,y,z,velocity
0,0.013186848,0.10383334,0.4087923,0.0
0,-0.22857204,1.1974305,0.0,0.0
0,-0.0820515,1.2443726,-0.41025752,0.0
0,-1.476927,1.3010726,0.061538626,0.0
1,0.013186848,0.10383334,0.4087923,0.0
1,-0.22857204,1.1968244,-0.03809534,0.0
1,1.0622739,0.84769195,0.042490955,0.0
1,-1.476927,1.3010726,0.061538626,0.0
2,0.013186848,0.10383334,0.4087923,0.0
2,-0.1904767,1.2034751,-0.03809534,0.0
2,1.0197829,0.8983597,-0.042490955,0.0
2,-1.5384656,1.2292331,0.0,0.0
3,0.013186848,0.10383334,0.4087923,0.0
3,-0.1904767,1.2034751,-0.03809534,0.0
3,-1.5384656,1.2292331,0.0,0.0
4,0.013186848,0.10383334,0.4087923,0.0
4,-0.1904767,1.2034751,-0.03809534,0.0
4,-1.5384656,1.2292331,0.0,0.0
5,0.013186848,0.10383334,0.4087923,0.0
5,-0.1904767,1.2034751,0.03809534,0.0
5,-1.476927,1.3025272,0.0,0.0
6,0.013186848,0.10383334,0.4087923,0.0
6,-0.15238136,1.2094896,0.0,0.0
6,-1.476927,1.3010726,0.061538626,0.0
7,0.013186848,0.10383334,0.4087923,0.0
7,-0.15238136,1.204078,-0.11428602,0.0
7,1.0197829,0.89936405,0.0,0.0
7,-1.476927,1.3025272,0.0,0.0
8,0.013186848,0.10383334,0.4087923,0.0
8,-0.22857204,1.1950041,-0.07619068,0.0
8,-1.5384656,1.2292331,0.0,0.0
9,0.013186848,0.10383334,0.4087923,0.0
9,-0.1904767,1.2016649,-0.07619068,0.0
9,-1.5384656,1.2292331,0.0,0.0
10,0.013186848,0.10383334,0.4087923,0.0
10,-0.0820515,1.2684854,-0.328206,0.0
10,-1.5384656,1.2292331,0.0,0.0
11,0.013186848,0.10383334,0.4087923,0.0
11,-0.34285808,1.1390443,0.26666737,0.0
11,0.80732816,1.0866393,0.12747286,0.0
11,0.59487337,1.2219383,-0.042490955,0.0
11,0.46740052,1.2740203,-0.08498191,0.0
11,-1.5384656,1.2292331,0.0,0.0
11,-0.051282186,1.6111097,-0.30769312,-0.482317
11,1.1794903,1.0192133,-0.51282185,-0.482317
11,1.128208,1.0757043,-0.51282185,-0.482317
11,0.07619068,1.1275191,-0.45714408,-0.36173776
12,0.013186848,0.10383334,0.4087923,0.0
12,-0.1904767,1.2034751,-0.03809534,0.0
12,-1.476927,1.3010726,0.061538626,0.0
12,0.2197808,1.0785693,-0.40293148,-0.964634
13,0.013186848,0.10383334,0.4087923,0.0
13,-0.23736328,1.2409658,0.07912109,0.0
13,-1.476927,1.3010726,0.061538626,0.0
13,0.10109916,0.74292415,-0.77509356,0.7234755
13,-0.0,1.0783911,0.0,0.7234755
13,0.77509356,0.7429241,-0.10109916,0.7234755
14,0.013186848,0.10383334,0.4087923,0.0
14,-0.04102575,1.3115413,0.04102575,0.0
14,0.984618,0.8673818,-0.04102575,0.0
14,-1.476927,1.3025272,0.0,0.0
14,0.15238136,1.2088895,-0.03809534,-0.36173776
14,0.04395616,1.4031589,0.08791232,-0.36173776
15,0.013186848,0.10383334,0.4087923,0.0
15,-0.22857204,1.1876951,0.15238136,0.0
15,-1.476927,1.3025272,0.0,0.0
15,0.30769312,0.91690487,0.18461588,0.36173776
15,-0.0,1.3570523,0.08498191,-0.2411585
16,0.013186848,0.10383334,0.4087923,0.0
16,-0.26666737,1.1673596,-0.22857204,0.0
16,0.977292,0.94440866,0.042490955,0.0
16,-1.476927,1.3025272,0.0,0.0
16,0.23589805,0.9848163,0.37069693,0.6028963
16,-0.07912109,1.262843,-0.039560545,-0.12057925
17,0.013186848,0.10383334,0.4087923,0.0
17,-0.22857204,1.1950041,-0.07619068,0.0
17,-0.20512876,1.273121,-0.2461545,0.0
17,-1.476927,1.3025272,0.0,0.0
17,0.1098904,1.0295609,0.549452,0.36173776
17,0.10109916,1.0544298,0.20219833,-0.12057925
18,0.013186848,0.10383334,0.4087923,0.0
18,-0.2197808,1.1461194,-0.1098904,0.0
18,-0.23736328,1.2276524,0.19780272,0.0
18,-1.5384656,1.2292331,0.0,0.0
18,0.06739944,1.0326641,0.3032975,-0.36173776
18,-1.790481,1.2163923,0.41318792,-0.2411585
18,-0.61978185,2.0966995,0.2754586,-0.2411585
18,0.5509172,2.1325817,0.06886465,-0.2411585
19,0.013186848,0.10383334,0.4087923,0.0
19,-0.1904767,1.2034751,-0.03809534,0.0
19,-1.476927,1.3025272,0.0,0.0
19,0.030769313,0.92410445,0.33846244,-0.964634
20,0.013186848,0.10383334,0.4087923,0.0
20,-0.22857204,1.1919641,-0.11428602,0.0
20,-1.476927,1.3025272,0.0,0.0
20,-0.6593424,1.9503611,0.4615397,-0.84405476
21,0.013186848,0.10383334,0.4087923,0.0
21,-0.22857204,1.1968244,-0.03809534,0.0
21,0.8498191,1.0605729,-0.042490955,0.0
21,-0.12747286,1.351052,0.08498191,0.0
21,-1.476927,1.3025272,0.0,0.0
22,0.013186848,0.10383334,0.4087923,0.0
22,-0.19780272,1.2503886,0.0,0.0
22,-1.476927,1.3025272,0.0,0.0
23,0.013186848,0.10383334,0.4087923,0.0
23,-0.15824218,1.2535138,-0.07912109,0.0
23,-1.5384656,1.2292331,0.0,0.0
23,0.26959777,0.79748094,-0.6739944,-0.7234755
23,-0.5054958,0.7852831,-0.53919554,-0.7234755
23,-0.22857204,1.1876951,0.15238136,-0.12057925
24,0.013186848,0.10383334,0.4087923,0.0
24,-0.0,1.3102574,0.0820515,0.0
24,0.86154073,0.9829072,-0.12307725,0.0
24,-1.476927,1.3025272,0.0,0.0
24,-0.039560545,1.2647007,-0.039560545,0.12057925
24,-0.15384656,1.6338025,0.0,0.2411585
24,1.2307725,1.0658802,-0.20512874,0.2411585
24,0.1113556,0.42766917,1.7260119,0.482317
24,-0.0556778,1.7088641,-0.5011002,0.482317
24,-0.036630135,1.112857,-0.36630136,0.7234755
25,0.013186848,0.10383334,0.4087923,0.0
25,0.86154073,0.99058294,0.0,0.0
25,-0.12307725,1.2751025,0.28718024,0.0
25,-1.476927,1.3025272,0.0,0.0
25,-0.039560545,1.2653192,0.0,0.2411585
26,0.013186848,0.10383334,0.4087923,0.0
26,-0.1904767,1.1943967,-0.15238136,0.0
26,0.8923101,1.0259608,0.0,0.0
26,-1.476927,1.3025272,0.0,0.0
26,-0.0,1.1567655,-0.5142871,0.2411585
26,-0.08498191,1.3328892,-0.25494573,0.2411585
27,0.013186848,0.10383334,0.4087923,0.0
27,-0.22857204,1.1754127,0.22857204,0.0
27,-1.476927,1.3025272,0.0,0.0
28,0.013186848,0.10383334,0.4087923,0.0
28,-0.15238136,1.204078,-0.11428602,0.0
28,-1.5384656,1.2292331,0.0,0.0
29,0.013186848,0.10383334,0.4087923,0.0
29,-0.1904767,1.1741773,-0.26666737,0.0
29,-1.476927,1.3025272,0.0,0.0
30,0.013186848,0.10383334,0.4087923,0.0
30,-0.26959777,1.04197,-0.06739944,0.0
30,0.94359225,0.9127654,0.0,0.0
30,-0.12307725,1.2107811,-0.492309,0.0
30,-0.12307725,1.2538049,0.36923176,0.0
30,-1.476927,1.3025272,0.0,0.0
31,0.013186848,0.10383334,0.4087923,0.0
31,-0.26959777,1.04197,-0.06739944,0.0
31,-0.19780272,1.2096732,-0.31648436,0.0
31,-1.476927,1.3025272,0.0,0.0
32,0.013186848,0.10383334,0.4087923,0.0
32,-0.22857204,1.1754127,-0.22857204,0.0
32,0.8923101,1.0250806,-0.042490955,0.0
32,-0.08498191,1.3543887,0.08498191,0.0
32,-1.476927,1.3025272,0.0,0.0
33,0.013186848,0.10383334,0.4087923,0.0
33,-0.22857204,1.1821839,-0.1904767,0.0
33,0.977292,0.94153666,-0.08498191,0.0
33,-0.0,1.3570523,-0.08498191,0.0
33,-1.476927,1.3025272,0.0,0.0
34,0.013186848,0.10383334,0.4087923,0.0
34,-0.26666737,1.1840237,0.11428602,0.0
34,-1.476927,1.3025272,0.0,0.0
35,0.013186848,0.10383334,0.4087923,0.0
35,0.042490955,1.3349195,-0.25494573,0.0
35,0.59487337,1.2219383,0.042490955,0.0
35,0.80732816,1.0866393,0.12747286,0.0
35,-1.476927,1.3025272,0.0,0.0
