frame,x,y,z,velocity
0,-0.0,0.14684252,0.39560544,0.0
0,0.94359225,0.9127654,0.0,0.0
0,-0.09670355,1.541201,-0.09670355,0.0
0,-1.476927,1.3010726,0.061538626,0.0
1,-0.0,0.14684252,0.39560544,0.0
1,0.94359225,0.9118429,-0.04102575,0.0
1,-0.09670355,1.5251901,-0.24175888,0.0
1,-0.20512874,1.620874,0.15384656,0.0
1,-0.051282186,1.3558296,-0.9230794,0.0
2,-0.0,0.14684252,0.39560544,0.0
2,0.94359225,0.9118429,-0.04102575,0.0
2,-0.09963396,1.4532561,-0.64762074,0.0
2,-1.476927,1.3010726,0.061538626,0.0
3,-0.0,0.14684252,0.39560544,0.0
3,0.94359225,0.9118429,-0.04102575,0.0
3,-0.14945094,1.5871224,0.0,0.0
3,-1.476927,1.3010726,0.061538626,0.0
4,-0.0,0.14684252,0.39560544,0.0
4,0.94359225,0.9127654,0.0,0.0
4,-0.0,1.4566677,-0.64762074,0.0
5,-0.0,0.14684252,0.39560544,0.0
5,0.977292,0.94536406,0.0,0.0
5,-0.14945094,1.5483387,-0.34871888,0.0
5,-1.476927,1.3010726,0.061538626,0.0
6,-0.0,0.14684252,0.39560544,0.0
6,0.94359225,0.9118429,-0.04102575,0.0
6,-0.09963396,1.5265471,-0.4483528,0.0
7,-0.0,0.14684252,0.39560544,0.0
7,0.977292,0.94536406,0.0,0.0
7,-0.04981698,1.5547369,-0.34871888,0.0
7,-1.476927,1.3010726,0.061538626,0.0
8,-0.0,0.14684252,0.39560544,0.0
8,0.94359225,0.9118429,-0.04102575,0.0
8,-0.19926792,1.5690372,-0.19926792,0.0
8,-1.476927,1.3010726,0.061538626,0.0
9,-0.0,0.14684252,0.39560544,0.0
9,0.94359225,0.9118429,-0.04102575,0.0
9,-0.09963396,1.474448,-0.5978038,0.0
9,-1.476927,1.3010726,0.061538626,0.0
10,-0.0,0.14684252,0.39560544,0.0
10,0.94359225,0.9127654,0.0,0.0
10,-0.2490849,1.5737752,-0.04981698,0.0
10,-1.476927,1.3010726,0.061538626,0.0
11,-0.0,0.14684252,0.39560544,0.0
11,0.94359225,0.9127654,0.0,0.0
11,-0.14945094,1.5362704,-0.39853585,0.0
12,-0.0,0.14684252,0.39560544,0.0
12,0.94359225,0.9118429,-0.04102575,0.0
12,-0.14945094,1.5745634,-0.19926792,0.0
12,-1.476927,1.3010726,0.061538626,0.0
13,-0.0,0.14684252,0.39560544,0.0
13,0.94359225,0.9127654,0.0,0.0
13,-0.14505532,1.5335975,-0.14505532,0.0
14,-0.0,0.14684252,0.39560544,0.0
14,0.94359225,0.9118429,-0.04102575,0.0
14,-0.09670355,1.5320724,-0.1934071,0.0
14,-1.476927,1.3010726,0.061538626,0.0
15,-0.0,0.14684252,0.39560544,0.0
15,0.94359225,0.9118429,-0.04102575,0.0
15,-0.14505532,1.521353,-0.24175888,0.0
15,-1.476927,1.3010726,0.061538626,0.0
16,-0.0,0.14684252,0.39560544,0.0
16,0.94359225,0.9127654,0.0,0.0
16,-0.1934071,1.5343597,-0.048351776,0.0
17,-0.0,0.14684252,0.39560544,0.0
17,0.94359225,0.9127654,0.0,0.0
17,-0.14505532,1.5282527,-0.1934071,0.0
17,-1.476927,1.3010726,0.061538626,0.0
18,-0.0,0.14684252,0.39560544,0.0
18,0.977292,0.94536406,0.0,0.0
18,-0.1934071,1.5343597,0.048351776,0.0
18,-1.476927,1.3010726,0.061538626,0.0
19,-0.0,0.14684252,0.39560544,0.0
19,0.94359225,0.9118429,-0.04102575,0.0
19,-0.04981698,1.5902467,-0.09963396,0.0
19,-1.476927,1.3010726,0.061538626,0.0
20,-0.0,0.14684252,0.39560544,0.0
20,0.94359225,0.9118429,-0.04102575,0.0
20,-0.14505532,1.5404423,0.0,0.0
20,0.12307725,0.97641075,0.030769313,0.2411585
21,-0.0,0.14684252,0.39560544,0.0
21,0.94359225,0.9118429,-0.04102575,0.0
21,-0.09963396,1.5626975,-0.2989019,0.0
21,-1.476927,1.3010726,0.061538626,0.0
22,-0.0,0.14684252,0.39560544,0.0
22,0.977292,0.94536406,0.0,0.0
22,-0.09670355,1.541201,-0.09670355,0.0
23,-0.0,0.14684252,0.39560544,0.0
23,0.94359225,0.9118429,-0.04102575,0.0
23,-1.476927,1.3025272,0.0,0.0
24,-0.0,0.14684252,0.39560544,0.0
24,0.94359225,0.9127654,0.0,0.0
24,-0.09963396,1.5626975,-0.2989019,0.0
24,-1.476927,1.3010726,0.061538626,0.0
24,-0.16117258,1.0106432,-0.12893806,-0.2411585
25,-0.0,0.14684252,0.39560544,0.0
25,0.94359225,0.9118429,-0.04102575,0.0
25,-0.09963396,1.5784988,-0.19926792,0.0
25,-0.21538518,0.9602787,-0.030769313,-0.2411585
26,-0.0,0.14684252,0.39560544,0.0
26,0.94359225,0.9127654,0.0,0.0
26,-0.14945094,1.5224774,-0.4483528,0.0
27,-0.0,0.14684252,0.39560544,0.0
27,0.94359225,0.9127654,0.0,0.0
27,-0.04981698,1.5134854,-0.4981698,0.0
28,-0.0,0.14684252,0.39560544,0.0
28,0.94359225,0.9118429,-0.04102575,0.0
28,-0.14065972,1.4930263,0.04688657,0.0
28,-0.20512874,1.5880927,0.3589753,0.0
28,-1.4153883,1.3677644,0.061538626,0.0
29,-0.0,0.14684252,0.39560544,0.0
29,0.94359225,0.9118429,-0.04102575,0.0
29,-0.09670355,1.3364697,-0.7736284,0.0
29,-0.24175888,1.5159651,0.1934071,0.0
29,-1.476927,1.3010726,0.061538626,0.0
30,-0.0,0.14684252,0.39560544,0.0
30,-0.15384656,1.604567,0.30769312,0.0
30,-1.476927,1.3010726,0.061538626,0.0
31,-0.0,0.14684252,0.39560544,0.0
31,0.94359225,0.9127654,0.0,0.0
31,-0.14505532,1.521353,-0.24175888,0.0
31,-0.15384656,1.593878,0.3589753,0.0
31,-1.476927,1.3010726,0.061538626,0.0
32,-0.0,0.14684252,0.39560544,0.0
32,0.94359225,0.9127654,0.0,0.0
32,-0.09670355,1.4816487,-0.43516597,0.0
32,-0.15384656,1.604567,0.30769312,0.0
32,-1.476927,1.3025272,0.0,0.0
