frame,x,y,z,velocity
0,-0.0,0.14684252,0.39560544,0.0
0,-0.20219833,1.0587292,-0.03369972,0.0
0,-1.476927,1.3010726,0.061538626,0.0
1,0.013186848,0.10383334,0.4087923,0.0
1,-0.10109916,1.060337,-0.1684986,0.0
1,-1.476927,1.3025272,0.0,0.0
2,-0.0,0.14684252,0.39560544,0.0
2,-0.19340709,0.9877657,-0.22564161,0.0
2,-1.476927,1.3010726,0.061538626,0.0
3,-0.0,0.14684252,0.39560544,0.0
3,-0.1684986,1.0517336,-0.1684986,0.0
3,-0.26666737,1.179726,-0.15238136,0.0
3,-1.476927,1.3010726,0.061538626,0.0
4,-0.0,0.14684252,0.39560544,0.0
4,-0.1684986,1.0565816,-0.13479888,0.0
4,-1.476927,1.3010726,0.061538626,0.0
5,-0.0,0.14684252,0.39560544,0.0
5,-0.0,1.0441476,-0.26959777,0.0
5,-1.476927,1.3010726,0.061538626,0.0
6,-0.0,0.14684252,0.39560544,0.0
6,-0.03516493,1.1109002,-0.17582464,0.0
6,-1.476927,1.3025272,0.0,0.0
6,0.03369972,0.96912336,-0.4717961,-0.6028963
7,-0.0,0.14684252,0.39560544,0.0
7,-0.20219833,1.0544298,0.10109916,0.0
7,-0.3809534,1.1268754,-0.26666737,0.0
7,0.94359225,0.9118429,-0.04102575,0.0
7,-1.476927,1.3025272,0.0,0.0
7,-0.2461545,0.93530613,-0.18461588,0.84405476
7,-0.15384656,0.30615088,-0.9230794,0.84405476
7,0.4615397,0.8244798,-0.2769238,0.84405476
7,-0.24175888,1.5282527,0.0,-0.2411585
7,1.0153873,1.1421667,-0.24175888,-0.2411585
8,-0.0,0.14684252,0.39560544,0.0
8,-0.13479888,1.0678079,-0.06739944,0.0
8,-1.476927,1.3010726,0.061538626,0.0
8,-0.18461587,0.36449182,-0.73846346,0.7234755
8,-0.26373696,0.7947196,-0.10549478,0.7234755
8,0.34285805,0.7487529,-0.18461587,0.7234755
8,-0.18754628,1.481942,-0.14065972,-0.2411585
8,1.0315045,1.052601,-0.28131944,-0.2411585
9,-0.0,0.14684252,0.39560544,0.0
9,-0.13479888,1.0699329,0.0,0.0
9,-1.476927,1.3010726,0.061538626,0.0
9,-0.07032986,0.7091352,-0.23443285,-0.84405476
9,0.05860821,0.9243576,-0.14652053,-0.482317
10,-0.0,0.14684252,0.39560544,0.0
10,-0.12893806,1.0049727,-0.19340709,0.0
10,-0.41904873,1.1034504,-0.30476272,0.0
10,-1.476927,1.3010726,0.061538626,0.0
10,-0.1098904,0.68907505,-0.08791232,-0.36173776
10,-0.02490849,0.7931702,-0.07472547,-0.36173776
11,-0.0,0.14684252,0.39560544,0.0
11,-0.1684986,1.0565816,-0.13479888,0.0
11,-0.34285808,1.129448,-0.30476272,0.0
11,-1.476927,1.3010726,0.061538626,0.0
11,-0.02490849,0.7966824,0.0,-0.2411585
12,-0.0,0.14684252,0.39560544,0.0
12,-0.13479888,1.0614074,-0.13479888,0.0
12,-1.476927,1.3010726,0.061538626,0.0
13,-0.0,0.14684252,0.39560544,0.0
13,-0.13479888,1.0678079,0.06739944,0.0
13,-1.476927,1.3010726,0.061538626,0.0
13,-0.14359012,0.61333156,0.18461588,-0.36173776
14,-0.0,0.14684252,0.39560544,0.0
14,-0.13479888,1.0694021,-0.03369972,0.0
14,-1.476927,1.3010726,0.061538626,0.0
14,-0.02197808,0.68061113,0.17582464,-0.36173776
15,-0.0,0.14684252,0.39560544,0.0
15,-0.096703544,1.024936,-0.06446903,0.0
15,-0.41904873,1.1217121,-0.22857204,0.0
15,-1.476927,1.3010726,0.061538626,0.0
15,0.12307725,0.6235374,0.164103,-0.36173776
16,-0.0,0.14684252,0.39560544,0.0
16,-0.03369972,1.0773374,0.03369972,0.0
16,-0.34285808,1.1060777,-0.3809534,0.0
16,-1.476927,1.3010726,0.061538626,0.0
16,0.13186848,0.6876716,-0.06593424,0.36173776
16,0.164103,0.63024956,-0.0820515,0.482317
17,-0.0,0.14684252,0.39560544,0.0
17,-0.13479888,1.0699329,0.0,0.0
17,-1.476927,1.3025272,0.0,0.0
17,0.0820515,0.5739941,-0.30769312,0.7234755
17,0.24175888,0.47240093,-0.4615397,-0.964634
17,-0.24175888,0.5288458,-0.39560544,-0.964634
17,-0.04395616,1.264074,-0.61538625,-0.964634
17,0.7472547,1.1076604,0.4395616,-0.964634
17,0.83516705,0.91993433,-0.6593424,-0.964634
17,-0.3809534,1.1422251,-0.1904767,-0.12057925
18,-0.0,0.14684252,0.39560544,0.0
18,-0.06446903,1.0111573,-0.19340709,0.0
18,-0.096703544,0.9638066,0.3545797,0.0
18,-1.476927,1.3010726,0.061538626,0.0
18,-0.23443285,1.4789722,-0.09377314,0.2411585
18,1.0783911,0.9901841,-0.328206,0.2411585
18,-0.09377314,0.6790464,-0.30476272,0.36173776
18,0.4688657,1.3971883,-0.28131944,0.482317
18,-0.4688657,1.4128349,-0.18754628,0.482317
18,-0.3296712,1.0754548,-0.3296712,-0.12057925
19,-0.0,0.14684252,0.39560544,0.0
19,-0.12893806,1.0152593,-0.12893806,0.0
19,-1.476927,1.3010726,0.061538626,0.0
20,-0.0,0.14684252,0.39560544,0.0
20,-0.12893806,0.9982296,0.22564161,0.0
20,-0.36630136,1.0514827,-0.36630136,0.0
20,-1.476927,1.3010726,0.061538626,0.0
20,-0.2197808,0.6677142,0.02197808,-0.2411585
21,-0.0,0.14684252,0.39560544,0.0
21,-0.19340709,1.0049727,-0.12893806,0.0
21,-0.3809534,1.1171746,-0.30476272,0.0
21,-1.476927,1.3010726,0.061538626,0.0
21,-0.13186848,0.66190153,0.19780272,-0.2411585
22,-0.0,0.14684252,0.39560544,0.0
22,-0.23589805,1.0386951,0.1684986,0.0
22,-0.36630136,1.0514827,-0.36630136,0.0
22,-1.476927,1.3010726,0.061538626,0.0
22,0.07912108,0.83982724,0.026373696,0.2411585
23,-0.0,0.14684252,0.39560544,0.0
23,-0.20219833,1.0544298,-0.10109916,0.0
23,-0.3809534,1.1060777,-0.34285808,0.0
23,-1.476927,1.3010726,0.061538626,0.0
24,-0.0,0.14684252,0.39560544,0.0
24,-0.22564161,0.8827786,-0.48351774,0.0
24,-0.12893806,0.48244208,0.90256643,0.0
24,-0.12893806,0.9982296,0.22564161,0.0
24,-0.3809534,1.1060777,-0.34285808,0.0
24,-1.476927,1.3025272,0.0,0.0
24,-0.0,1.0736415,-0.10109916,0.2411585
24,1.1809555,0.8023012,-0.2725282,0.36173776
24,-0.0,1.4506421,-0.09084273,0.36173776
24,0.17582464,0.59584516,-0.3296712,-0.84405476
24,-0.3296712,0.56248426,-0.26373696,-0.84405476
25,-0.0,0.14684252,0.39560544,0.0
25,-0.09230794,0.9563269,-0.21538518,0.0
