frame,x,y,z,velocity
0,0.013186848,0.10383334,0.4087923,0.0
0,-0.23589805,1.0326642,0.20219833,0.0
0,-0.45714408,1.0981771,-0.26666737,0.0
0,-1.4153883,1.3677644,0.061538626,0.0
1,-0.0,0.14684252,0.39560544,0.0
1,-0.13479888,1.0651457,0.10109916,0.0
1,-1.476927,1.3010726,0.061538626,0.0
2,-0.0,0.14684252,0.39560544,0.0
2,-0.1684986,1.0651457,0.0,0.0
2,-1.476927,1.3010726,0.061538626,0.0
3,0.013186848,0.10383334,0.4087923,0.0
3,-0.1684986,1.0630112,0.06739944,0.0
3,-1.476927,1.3010726,0.061538626,0.0
4,-0.0,0.14684252,0.39560544,0.0
4,-0.0,1.0651457,-0.1684986,0.0
4,-0.45714408,1.0882206,-0.30476272,0.0
4,-1.476927,1.3025272,0.0,0.0
5,0.013186848,0.10383334,0.4087923,0.0
5,-1.4153883,1.3677644,0.061538626,0.0
5,0.03369972,1.0343124,-0.3032975,-0.12057925
6,0.013186848,0.10383334,0.4087923,0.0
6,-0.06739944,1.0630112,-0.1684986,0.0
6,-0.41904873,1.0922141,-0.34285808,0.0
6,-1.4153883,1.3677644,0.061538626,0.0
6,-0.0,0.99969524,-0.40439665,-0.36173776
7,-0.0,0.14684252,0.39560544,0.0
7,-0.10109916,1.0392417,-0.26959777,0.0
7,-0.3369972,0.95495754,0.37069693,0.0
7,-0.41904873,1.1390443,-0.11428602,0.0
7,0.984618,0.86835146,0.0,0.0
7,-1.476927,1.3010726,0.061538626,0.0
7,-0.0,0.9562303,-0.38681418,-0.7234755
8,-0.0,0.14684252,0.39560544,0.0
8,-0.17582464,1.1114565,0.0,0.0
8,-1.476927,1.3010726,0.061538626,0.0
8,-0.2227112,0.3036865,-0.8073281,0.7234755
8,-0.30622792,0.8248963,-0.1391945,0.7234755
8,0.3340668,0.795238,-0.2227112,0.7234755
8,-0.06446903,1.0044557,-0.22564161,-0.36173776
9,-0.0,0.14684252,0.39560544,0.0
9,-0.20219833,1.0457778,-0.1684986,0.0
9,-0.41904873,1.0495249,-0.45714408,0.0
9,-1.476927,1.3010726,0.061538626,0.0
9,-0.12454245,0.73806506,-0.2739934,-0.964634
9,0.51575226,1.389299,-0.23443285,-0.2411585
9,-0.328206,1.45726,-0.14065972,-0.2411585
9,1.2659374,0.799825,-0.09377314,-0.2411585
10,-0.0,0.14684252,0.39560544,0.0
10,-0.1684986,1.0646125,0.03369972,0.0
10,-1.476927,1.3025272,0.0,0.0
10,-0.15384656,0.66879845,-0.15384656,-0.482317
10,0.05860821,0.9340612,-0.05860821,-0.36173776
11,-0.0,0.14684252,0.39560544,0.0
